name,latitude,longitude,elevation,elevationUnit,datacoverage,start_date,end_date,geometry,nc_file,TMAX,TMIN,TAVG,PRCP,SNOW,SNWD,WESD,WESF,AWND,AWDR
"BROOKINGS 2.8 SSW, SD US",44.266622,-96.801197,494.1,METERS,0.4609,2007-06-01,2016-05-26,POINT (-96.801197 44.266622),GHCND-US1SDBK0001__BROOKINGS_2.8_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ASTORIA 2.2 SSE, SD US",44.53093333,-96.52268333,559.9,METERS,0.938,2007-06-01,2024-12-12,POINT (-96.52268333 44.53093333),GHCND-US1SDBK0002__ASTORIA_2.2_SSE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 1.4 SW, SD US",44.289889,-96.802123,494.1,METERS,0.7823,2007-08-03,2024-12-12,POINT (-96.802123 44.289889),GHCND-US1SDBK0003__BROOKINGS_1.4_SW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 1.1 NW, SD US",44.3177,-96.8003,494.1,METERS,0.9831,2007-06-01,2008-11-13,POINT (-96.8003 44.3177),GHCND-US1SDBK0005__BROOKINGS_1.1_NW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"BROOKINGS 8.0 SSW, SD US",44.206005,-96.867627,488.0,METERS,0.5155,2007-07-04,2008-05-20,POINT (-96.867627 44.206005),GHCND-US1SDBK0006__BROOKINGS_8.0_SSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 0.2 SSW, SD US",44.303888,-96.787839,502.9,METERS,0.9972,2007-06-10,2024-12-12,POINT (-96.787839 44.303888),GHCND-US1SDBK0007__BROOKINGS_0.2_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BRUCE 0.1 NW, SD US",44.43961,-96.89089,494.1,METERS,0.3677,2007-06-13,2008-11-07,POINT (-96.89089 44.43961),GHCND-US1SDBK0008__BRUCE_0.1_NW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BRUCE 4.1 NE, SD US",44.48479,-96.83752,519.1,METERS,0.9117,2007-06-24,2024-12-12,POINT (-96.83752 44.48479),GHCND-US1SDBK0009__BRUCE_4.1_NE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"VOLGA 0.4 NW, SD US",44.328055,-96.928349,493.2,METERS,0.5484,2007-06-24,2008-07-30,POINT (-96.928349 44.328055),GHCND-US1SDBK0010__VOLGA_0.4_NW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"BROOKINGS 6.5 NNE, SD US",44.397136,-96.749339,524.0,METERS,0.5837,2007-07-24,2008-10-07,POINT (-96.749339 44.397136),GHCND-US1SDBK0011__BROOKINGS_6.5_NNE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 0.9 S, SD US",44.293578,-96.788359,498.0,METERS,0.0612,2007-08-06,2024-08-01,POINT (-96.788359 44.293578),GHCND-US1SDBK0012__BROOKINGS_0.9_S_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"SINAI 0.1 ESE, SD US",44.2446,-97.0409,540.4,METERS,0.0468,2007-12-02,2016-07-11,POINT (-97.0409 44.2446),GHCND-US1SDBK0013__SINAI_0.1_ESE_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"BROOKINGS 3.1 WSW, SD US",44.282677,-96.83864,483.4,METERS,0.0911,2017-03-03,2021-04-14,POINT (-96.83864 44.282677),GHCND-US1SDBK0015__BROOKINGS_3.1_WSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 6.5 N, SD US",44.3985651,-96.8078221,509.0,METERS,0.2022,2010-06-24,2024-08-01,POINT (-96.8078221 44.3985651),GHCND-US1SDBK0016__BROOKINGS_6.5_N_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"WHITE 0.1 S, SD US",44.432646,-96.649931,544.1,METERS,0.281,2010-07-29,2024-06-08,POINT (-96.649931 44.432646),GHCND-US1SDBK0017__WHITE_0.1_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 1.1 S, SD US",44.28992,-96.78709,493.2,METERS,0.7401,2011-06-10,2018-04-14,POINT (-96.78709 44.28992),GHCND-US1SDBK0018__BROOKINGS_1.1_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 0.8 ESE, SD US",44.303033,-96.769863,515.1,METERS,0.1352,2011-07-02,2016-10-12,POINT (-96.769863 44.303033),GHCND-US1SDBK0019__BROOKINGS_0.8_ESE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 1.7 SW, SD US",44.2879742,-96.8080453,509.9,METERS,0.8219,2011-08-30,2013-12-07,POINT (-96.8080453 44.2879742),GHCND-US1SDBK0020__BROOKINGS_1.7_SW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"WHITE 1.7 SSW, SD US",44.4124338,-96.6628227,537.4,METERS,0.1722,2012-07-02,2023-11-20,POINT (-96.6628227 44.4124338),GHCND-US1SDBK0021__WHITE_1.7_SSW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"WHITE 0.4 WNW, SD US",44.4347416,-96.6536933,539.5,METERS,0.2651,2012-03-30,2024-12-11,POINT (-96.6536933 44.4347416),GHCND-US1SDBK0024__WHITE_0.4_WNW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"AURORA 7.5 N, SD US",44.3910851,-96.6867817,520.9,METERS,0.1374,2012-07-29,2024-11-19,POINT (-96.6867817 44.3910851),GHCND-US1SDBK0027__AURORA_7.5_N_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 6.8 SSW, SD US",44.212541,-96.828475,490.4,METERS,0.947,2013-04-07,2014-01-14,POINT (-96.828475 44.212541),GHCND-US1SDBK0031__BROOKINGS_6.8_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"WHITE 1.3 ESE, SD US",44.425567,-96.620736,552.3,METERS,0.8225,2013-10-05,2017-03-08,POINT (-96.620736 44.425567),GHCND-US1SDBK0033__WHITE_1.3_ESE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 0.5 E, SD US",44.306148,-96.775108,510.2,METERS,0.8272,2014-04-14,2021-12-31,POINT (-96.775108 44.306148),GHCND-US1SDBK0035__BROOKINGS_0.5_E_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 2.8 SSW, SD US",44.267254,-96.797836,488.9,METERS,0.1451,2014-07-20,2024-11-19,POINT (-96.797836 44.267254),GHCND-US1SDBK0036__BROOKINGS_2.8_SSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BRUCE 0.2 SSW, SD US",44.435512,-96.89067,498.0,METERS,0.9636,2015-04-01,2024-12-11,POINT (-96.89067 44.435512),GHCND-US1SDBK0037__BRUCE_0.2_SSW_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"TORONTO 3.9 SW, SD US",44.526344,-96.688038,561.1,METERS,0.0738,2015-05-08,2024-08-27,POINT (-96.688038 44.526344),GHCND-US1SDBK0039__TORONTO_3.9_SW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 5.3 N, SD US",44.382317,-96.788322,511.8,METERS,0.5366,2016-06-18,2024-11-19,POINT (-96.788322 44.382317),GHCND-US1SDBK0041__BROOKINGS_5.3_N_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 1.0 S, SD US",44.291801,-96.7855,496.5,METERS,0.9997,2016-07-31,2024-06-27,POINT (-96.7855 44.291801),GHCND-US1SDBK0043__BROOKINGS_1.0_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"AURORA 0.3 NE, SD US",44.285991,-96.683273,497.4,METERS,0.1518,2016-08-24,2024-11-19,POINT (-96.683273 44.285991),GHCND-US1SDBK0044__AURORA_0.3_NE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BRUCE 5.3 W, SD US",44.43148,-96.996128,502.9,METERS,0.2905,2016-10-04,2024-12-11,POINT (-96.996128 44.43148),GHCND-US1SDBK0045__BRUCE_5.3_W_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"BRUCE 5.2 NNW, SD US",44.507293,-96.929326,531.3,METERS,0.0997,2017-06-11,2024-11-19,POINT (-96.929326 44.507293),GHCND-US1SDBK0046__BRUCE_5.2_NNW_SD_US.nc,0,0,0,1,0,0,0,0,0,0
"VOLGA 0.1 S, SD US",44.3218,-96.9222,499.0,METERS,0.016,1998-06-17,2024-11-19,POINT (-96.9222 44.3218),GHCND-US1SDBK0048__VOLGA_0.1_S_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"BRUCE 3.0 WSW, SD US",44.425815,-96.946681,501.1,METERS,0.0734,2019-10-21,2024-05-07,POINT (-96.946681 44.425815),GHCND-US1SDBK0051__BRUCE_3.0_WSW_SD_US.nc,0,0,0,1,0,0,0,0,0,0
"BROOKINGS 1.4 NW, SD US",44.3186173,-96.8079189,490.1,METERS,0.2771,2021-04-27,2024-11-19,POINT (-96.8079189 44.3186173),GHCND-US1SDBK0054__BROOKINGS_1.4_NW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BROOKINGS 6.5 NNW, SD US",44.395278,-96.829167,506.9,METERS,0.7885,2021-05-25,2024-12-12,POINT (-96.829167 44.395278),GHCND-US1SDBK0056__BROOKINGS_6.5_NNW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 1.6 S, SD US",44.283677,-96.79109,491.6,METERS,0.1993,2006-12-08,2024-12-12,POINT (-96.79109 44.283677),GHCND-US1SDBK0057__BROOKINGS_1.6_S_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"AURORA 0.3 NNE, SD US",44.286743,-96.685388,497.4,METERS,0.8066,2022-04-19,2024-12-12,POINT (-96.685388 44.286743),GHCND-US1SDBK0059__AURORA_0.3_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"BROOKINGS 2.3 N, SD US",44.3393873,-96.789698,494.7,METERS,0.1692,2022-07-30,2024-05-09,POINT (-96.789698 44.3393873),GHCND-US1SDBK0060__BROOKINGS_2.3_N_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"VOLGA 0.5 WSW, SD US",44.318969,-96.931663,501.7,METERS,0.4779,2023-05-30,2024-06-17,POINT (-96.931663 44.318969),GHCND-US1SDBK0062__VOLGA_0.5_WSW_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"CHAMBERLAIN 0.3 W, SD US",43.806791,-99.327094,452.0,METERS,0.8914,2007-06-01,2024-12-12,POINT (-99.327094 43.806791),GHCND-US1SDBL0001__CHAMBERLAIN_0.3_W_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"PUKWANA 1.9 S, SD US",43.7513,-99.1791,488.0,METERS,0.1221,2010-07-07,2016-04-18,POINT (-99.1791 43.7513),GHCND-US1SDBL0003__PUKWANA_1.9_S_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"KIMBALL 3.9 ENE, SD US",43.758482,-98.881818,524.3,METERS,0.2527,2012-04-17,2024-09-15,POINT (-98.881818 43.758482),GHCND-US1SDBL0008__KIMBALL_3.9_ENE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"CHAMBERLAIN 7.5 SSW, SD US",43.705134,-99.377341,500.8,METERS,0.7651,2013-01-30,2024-12-12,POINT (-99.377341 43.705134),GHCND-US1SDBL0010__CHAMBERLAIN_7.5_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"PUKWANA 1.9 S, SD US",43.750885,-99.182711,487.7,METERS,0.255,2013-06-01,2024-12-11,POINT (-99.182711 43.750885),GHCND-US1SDBL0011__PUKWANA_1.9_S_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"CHAMBERLAIN 7.5 NNE, SD US",43.904788,-99.254916,529.1,METERS,0.8553,2013-08-25,2024-11-19,POINT (-99.254916 43.904788),GHCND-US1SDBL0013__CHAMBERLAIN_7.5_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"PUKWANA 4.5 SE, SD US",43.7301788330078,-99.1240463256836,511.1,METERS,0.1039,2016-04-19,2020-09-12,POINT (-99.1240463256836 43.7301788330078),GHCND-US1SDBL0015__PUKWANA_4.5_SE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"KIMBALL 6.7 SE, SD US",43.6741488,-98.8661026,500.5,METERS,0.1734,2020-05-04,2024-11-19,POINT (-98.8661026 43.6741488),GHCND-US1SDBL0019__KIMBALL_6.7_SE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"BATESLAND 7.4 NNE, SD US",43.2218,-102.03258,1058.9,METERS,0.1978,2007-04-25,2024-11-10,POINT (-102.03258 43.2218),GHCND-US1SDBN0002__BATESLAND_7.4_NNE_SD_US.nc,0,0,0,1,1,1,1,0,0,0
"MARTIN 19.6 ENE, SD US",43.3158,-101.3851,876.9,METERS,0.9953,2007-06-08,2017-10-31,POINT (-101.3851 43.3158),GHCND-US1SDBN0003__MARTIN_19.6_ENE_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"MARTIN 5.3 ENE, SD US",43.199711,-101.625043,940.0,METERS,0.2737,2007-06-10,2010-10-26,POINT (-101.625043 43.199711),GHCND-US1SDBN0004__MARTIN_5.3_ENE_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"MARTIN 13.2 W, SD US",43.171967,-101.9864,1029.0,METERS,0.1047,2007-06-12,2023-12-30,POINT (-101.9864 43.171967),GHCND-US1SDBN0005__MARTIN_13.2_W_SD_US.nc,0,0,0,1,1,1,0,1,0,0
"MARTIN 13.6 NNE, SD US",43.350238,-101.601781,930.2,METERS,0.2655,2007-06-09,2020-10-25,POINT (-101.601781 43.350238),GHCND-US1SDBN0006__MARTIN_13.6_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"MARTIN 11.7 E, SD US",43.15627,-101.49293,914.1,METERS,0.4886,2007-06-12,2019-10-27,POINT (-101.49293 43.15627),GHCND-US1SDBN0007__MARTIN_11.7_E_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"MARTIN 17.2 ENE, SD US",43.286,-101.4178,878.1,METERS,0.4177,2007-06-29,2009-07-02,POINT (-101.4178 43.286),GHCND-US1SDBN0008__MARTIN_17.2_ENE_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"MARTIN 12.4 N, SD US",43.3542,-101.7059,858.9,METERS,0.8905,2007-06-01,2008-09-26,POINT (-101.7059 43.3542),GHCND-US1SDBN0009__MARTIN_12.4_N_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"MARTIN 15.5 W, SD US",43.2082,-102.0292,1064.1,METERS,0.966,2007-06-07,2018-02-22,POINT (-102.0292 43.2082),GHCND-US1SDBN0010__MARTIN_15.5_W_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"MARTIN 7.1 W, SD US",43.166636,-101.865422,1011.9,METERS,0.377,2005-06-25,2009-10-06,POINT (-101.865422 43.166636),GHCND-US1SDBN0011__MARTIN_7.1_W_SD_US.nc,0,0,0,1,1,0,1,0,0,0
"MARTIN 17.5 NE, SD US",43.376139,-101.512636,854.0,METERS,0.9126,2007-08-05,2008-12-08,POINT (-101.512636 43.376139),GHCND-US1SDBN0012__MARTIN_17.5_NE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"MARTIN 5.9 SW, SD US",43.11381,-101.805907,970.2,METERS,0.1876,2008-02-04,2009-12-27,POINT (-101.805907 43.11381),GHCND-US1SDBN0013__MARTIN_5.9_SW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"MARTIN 5.9 NE, SD US",43.22281667,-101.6274,976.6,METERS,0.0731,2011-08-20,2015-09-18,POINT (-101.6274 43.22281667),GHCND-US1SDBN0014__MARTIN_5.9_NE_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"MARTIN 13.1 WSW, SD US",43.13,-101.975859,1008.6,METERS,0.1339,2014-04-16,2016-09-05,POINT (-101.975859 43.13),GHCND-US1SDBN0016__MARTIN_13.1_WSW_SD_US.nc,0,0,0,1,0,0,0,0,0,0
"MARTIN 14.1 ENE, SD US",43.287645,-101.491217,917.8,METERS,0.1304,2018-07-18,2024-11-10,POINT (-101.491217 43.287645),GHCND-US1SDBN0017__MARTIN_14.1_ENE_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"MARTIN 9.4 W, SD US",43.1597528,-101.908837,1015.6,METERS,0.3876,2022-03-10,2024-01-14,POINT (-101.908837 43.1597528),GHCND-US1SDBN0019__MARTIN_9.4_W_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"MARTIN 13.5 W, SD US",43.159417,-101.990694,1012.9,METERS,0.8269,2022-04-24,2024-12-12,POINT (-101.990694 43.159417),GHCND-US1SDBN0020__MARTIN_13.5_W_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 1.0 NNE, SD US",45.481041,-98.473166,395.6,METERS,0.4828,2007-05-01,2024-12-11,POINT (-98.473166 45.481041),GHCND-US1SDBR0001__ABERDEEN_1.0_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 7.4 NNE, SD US",45.561269,-98.410058,395.9,METERS,0.3866,2007-06-01,2024-11-19,POINT (-98.410058 45.561269),GHCND-US1SDBR0002__ABERDEEN_7.4_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"CLAREMONT 2.4 SSE, SD US",45.638276,-98.000341,399.9,METERS,0.2541,2007-06-01,2024-12-11,POINT (-98.000341 45.638276),GHCND-US1SDBR0003__CLAREMONT_2.4_SSE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"HECLA 7.1 WNW, SD US",45.91651,-98.29118,412.4,METERS,0.5908,2007-06-07,2024-12-10,POINT (-98.29118 45.91651),GHCND-US1SDBR0004__HECLA_7.1_WNW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 0.7 NNE, SD US",45.4759,-98.4754,395.0,METERS,1.0,2007-06-28,2007-12-17,POINT (-98.4754 45.4759),GHCND-US1SDBR0006__ABERDEEN_0.7_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"WARNER 3.4 SE, SD US",45.284515,-98.453746,392.0,METERS,0.5066,2007-08-09,2013-08-13,POINT (-98.453746 45.284515),GHCND-US1SDBR0007__WARNER_3.4_SE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 1.8 SE, SD US",45.449726,-98.454289,395.9,METERS,0.1168,2007-08-27,2011-09-24,POINT (-98.454289 45.449726),GHCND-US1SDBR0008__ABERDEEN_1.8_SE_SD_US.nc,0,0,0,1,1,0,0,0,0,0
"ABERDEEN 1.5 SW, SD US",45.470023,-98.480901,398.1,METERS,0.9787,2007-09-08,2013-09-19,POINT (-98.480901 45.470023),GHCND-US1SDBR0009__ABERDEEN_1.5_SW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 1.5 SSW, SD US",45.446769,-98.49093,396.2,METERS,0.9685,2008-05-05,2024-12-11,POINT (-98.49093 45.446769),GHCND-US1SDBR0011__ABERDEEN_1.5_SSW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"MANSFIELD 0.1 NW, SD US",45.243832,-98.564032,395.0,METERS,0.1452,2009-03-22,2019-08-18,POINT (-98.564032 45.243832),GHCND-US1SDBR0012__MANSFIELD_0.1_NW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 1.1 SW, SD US",45.456077,-98.499559,397.5,METERS,0.4352,2009-04-08,2010-04-28,POINT (-98.499559 45.456077),GHCND-US1SDBR0013__ABERDEEN_1.1_SW_SD_US.nc,0,0,0,1,1,1,0,0,0,0
"ABERDEEN 2.1 SW, SD US",45.4449852,-98.5106133,396.5,METERS,0.2797,2001-05-04,2013-05-21,POINT (-98.5106133 45.4449852),GHCND-US1SDBR0014__ABERDEEN_2.1_SW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"WARNER 0.1 NW, SD US",45.325523,-98.497146,395.3,METERS,0.1285,2009-05-03,2017-11-24,POINT (-98.497146 45.325523),GHCND-US1SDBR0015__WARNER_0.1_NW_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 9.4 NW, SD US",45.5465125,-98.6416538,423.1,METERS,0.5292,2009-04-25,2024-11-19,POINT (-98.6416538 45.5465125),GHCND-US1SDBR0016__ABERDEEN_9.4_NW_SD_US.nc,0,0,0,1,1,1,1,0,0,0
"ABERDEEN 1.1 NNE, SD US",45.482624,-98.477576,396.5,METERS,0.1619,2009-04-25,2024-11-19,POINT (-98.477576 45.482624),GHCND-US1SDBR0018__ABERDEEN_1.1_NNE_SD_US.nc,0,0,0,1,1,1,1,1,0,0
"ABERDEEN 2.1 NW, SD US",45.486939,-98.516874,403.6,METERS,0.2053,2010-05-01,2018-07-03,POINT (-98.516874 45.486939),GHCND-US1SDBR0020__ABERDEEN_2.1_NW_SD_US.nc,0,0,0,1,1,0,0,1,0,0
"ABERDEEN 7.5 SE, SD US",45.3917927,-98.3717546,396.5,METERS,0.5388,2011-05-26,2023-10-27,POINT (-98.3717546 45.3917927),GHCND-US1SDBR0023__ABERDEEN_7.5_SE_SD_US.nc,0,0,0,1,1,0,0,1,0,0
