index,variable_name,long_name,standard_name,units,scale,offset,cell_methods
WSF1,maximum_1_minute_wind_speed,Maximum 1-minute wind speed,wind_speed,m s-1,0.1,0,time:maximum
WSF2,maximum_2_minute_wind_speed,Maximum 2-minute wind speed,wind_speed,m s-1,0.1,0,time:maximum
WSF5,maximum_5_minute_wind_speed,Maximum 5-minute wind speed,wind_speed,m s-1,0.1,0,time:maximum
WSFG,wind_speed_of_gust,Wind Gust Speed,wind_speed_of_gust,m s-1,0.1,0,time:maximum
WSFI,wind_speed_highest_instantaneous,Maximum Instantaneous Wind Speed,wind_speed,m s-1,0.1,0,time:maximum
WSFM,maximum_mile_windspeed,Maximum 1-mile Wind Speed,wind_speed,m s-1,0.1,0,time:maximum
WT01,weather_event_fog,"WX: Fog, Ice Fog, or Freezing Fog",,,1,0,time:point
WT02,weather_event_heavy_fog,WX: Heavy Fog or Heavy Freezing Fog,,,1,0,time:point
WT03,weather_event_thunder,WX: Thunder,,,1,0,time:point
WT04,weather_event_ice_pellets,"WX: Ice Pellets, Sleet, Snow Pellets, or Small Hail",,,1,0,time:point
WT05,weather_event_hail,WX: Hail,,,1,0,time:point
WT06,weather_event_rime,WX: Glaze or Rime ,,,1,0,time:point
WT07,weather_event_dust,"WX: Dust, Volcanic Ash, Blowing Dust, Blowing Sand, or Blowing Obstruction",,,1,0,time:point
WT08,weather_event_smoke,WX: Smoke or Haze,,,1,0,time:point
WT09,weather_event_blowing_snow,WX: Blowing or Drifting Snow,,,1,0,time:point
WT10,weather_event_tornado,"WX: Tornado, Waterspout, or Funnel Cloud",,,1,0,time:point
WT11,weather_event_high_wind,WX: High or Damaging winds,,,1,0,time:point
WT12,weather_event_blowing_spray,WX: Blowing Spray,,,1,0,time:point
WT13,weather_event_mist,WX: Mist,,,1,0,time:point
WT14,weather_event_drizzle,WX: Drizzle,,,1,0,time:point
WT15,weather_event_freezing_drizzle,WX: Freezing Drizzle,,,1,0,time:point
WT16,weather_event_rain,WX: Rain,,,1,0,time:point
WT17,weather_event_freezing_rain,WX: Freezing Rain,,,1,0,time:point
WT18,weather_event_snow,"WX: Snow, Snow pellets, Snow grains, or Ice Crystals",,,1,0,time:point
WT19,weather_event_unknown_precip,WX: Unknown Source of Precipitation,,,1,0,time:point
WT21,weather_event_ground_fog,WX: Ground Fog,,,1,0,time:point
WT22,weather_event_ice_fog,WX: Ice Fog or Freezing Fog,,,1,0,time:point
WV01,near_weather_event_fog,"Near WX: Fog, Ice Fog, or Freezing Fog",,,1,0,time:point
WV03,near_weather_event_thunder,Near WX: Thunder,,,1,0,time:point
WV07,near_weather_event_dust,"Near WX: Dust, Ash, Blowing Dust, Blowing Sand, or Blowing Obstruction",,,1,0,time:point
WV18,near_weather_event_snow_or_ice_crystals,"Near WX: Snow, or Ice Crystals",,,1,0,time:point
WV20,near_weather_event_rain_or_snow_shower,Near WX: Rain or Snow Shower,,,1,0,time:point
